Name of song,Earth,Air,Water,Fire,Metal
Healing Elements Metal 60 bpm Tai Chi and Meditation Music.mp3,0.1,0.1,0.1,0.1,0.8
Natural Elements AIR.mp3,0.1,0.7,0.3,0.2,0.3
Gaia Healing Earth s Frequency 7 83hz Music Schumann Resonance.mp3,0.7,0.3,0.4,0.2,0.1
Fire Elemental.mp3,0.1,0.1,0.1,0.9,0.3
Contemporary Dance Choreography Momo Sanno.mp3,0.6,0.5,0.4,0.7,0.8
Song elements of nature.mp3,0.3,0.2,0.8,0.4,0.3
